都市,日付,平均気温,最高気温,最低気温,降水量,日照時間,降雪量,平均風速,昼の天気,夜の天気
福岡,2012/01/01,7.9,9.5,6.1,0,0,0,2.7,雨,曇
福岡,2012/01/02,6.1,9.3,3.7,2.5,1.3,0,3.8,雨,曇
福岡,2012/01/03,6.7,8.8,4.4,1.5,5.9,0,3.4,晴,雨
福岡,2012/01/04,4.4,6.8,2.2,0.5,1.8,0,6,曇,曇
福岡,2012/01/05,4.8,7.5,2,0,4.9,0,2.9,晴,晴
福岡,2012/01/06,5,8.6,1.9,0,1.3,0,2.7,曇,曇
福岡,2012/01/07,6.2,9.9,3.3,0,1.3,0,1.5,曇,晴
福岡,2012/01/08,7.7,12.5,2.2,0,6.4,0,1.9,晴,曇
福岡,2012/01/09,8.2,9.9,5.9,0,2.2,0,2.8,曇,曇
福岡,2012/01/10,6.2,8.4,4.4,0,0,0,1.7,曇,曇
福岡,2012/01/11,6.2,8.6,4.1,0,3,0,5.5,晴,曇
福岡,2012/01/12,4.9,9.2,1.8,0.5,5.9,0,2.4,曇,曇
福岡,2012/01/13,6.7,8.4,4.5,0,1.3,0,3.2,晴,曇
福岡,2012/01/14,6.3,10,4.1,0,1.3,0,2,曇,曇
福岡,2012/01/15,6.8,9,4.6,0,0,0,1.7,曇,曇
福岡,2012/01/16,6.4,8.1,3.5,0,0,0,1.9,曇,晴
福岡,2012/01/17,6.8,12.3,1.5,0,9.1,0,1.8,晴,晴
福岡,2012/01/18,8.2,11.4,4.8,1,0,0,1.8,曇,雨
福岡,2012/01/19,9.8,11.2,8.5,11.5,0,0,1.5,雨,曇
福岡,2012/01/20,10.4,13.6,8.5,0,1.1,0,3.2,曇,晴
福岡,2012/01/21,9.4,14,5.1,0,8,0,2.3,晴,晴
福岡,2012/01/22,8.1,9,6.6,12,0,0,2.8,雨,曇
福岡,2012/01/23,4.6,7.5,2.7,0,5.1,0,4.8,晴,曇
福岡,2012/01/24,3.1,5,1.6,0,2.8,0,4.9,曇,曇
福岡,2012/01/25,3.5,5.3,1.9,0,1,0,4.7,曇,曇
